hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRH29GP5RE4HT89GY1Z8ENWE,01KRH1Z1C1WG2QAPJ3Q1G85W38,19,2026-05-13T16:21:35.045963+00:00,2026-05-13T16:22:13.260720+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:19,8dAd,Qd6c,7h2h9d,3d,Kc,400000,hermes,showdown,
01KRH2ARP8BHH0HXA3XQ6TZDBH,01KRH1Z1C1WG2QAPJ3Q1G85W38,20,2026-05-13T16:22:16.008528+00:00,2026-05-13T16:22:21.005433+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:20,Td5d,4s3h,,,,100000,openclaw,fold,
01KRH2B07N7XG8B2J70FCRCA20,01KRH1Z1C1WG2QAPJ3Q1G85W38,21,2026-05-13T16:22:23.733373+00:00,2026-05-13T16:22:29.873686+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:21,Qh5s,Qc8c,,,,200000,openclaw,fold,
01KRH2B90S456W6DF3B7QKY8WG,01KRH1Z1C1WG2QAPJ3Q1G85W38,22,2026-05-13T16:22:32.729966+00:00,2026-05-13T16:22:37.708845+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:22,7s3c,9c8h,,,,100000,openclaw,fold,
01KRH2BGMEZE7JS09F9J2NZFFG,01KRH1Z1C1WG2QAPJ3Q1G85W38,23,2026-05-13T16:22:40.526685+00:00,2026-05-13T16:22:42.969501+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:23,6h6s,2h6c,,,,100000,hermes,fold,
01KRH2BP2CKG3E9QT80WX86CBT,01KRH1Z1C1WG2QAPJ3Q1G85W38,24,2026-05-13T16:22:46.092673+00:00,2026-05-13T16:22:52.201000+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:24,8h3h,Qc7h,,,,100000,openclaw,fold,
01KRH2BYQGPP3YRJ6F0G3M4ME1,01KRH1Z1C1WG2QAPJ3Q1G85W38,25,2026-05-13T16:22:54.960512+00:00,2026-05-13T16:22:57.623569+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:25,3hQd,8h3c,,,,100000,hermes,fold,
01KRH2C42NQ6VCJXPK9JT686R1,01KRH1Z1C1WG2QAPJ3Q1G85W38,26,2026-05-13T16:23:00.437692+00:00,2026-05-13T16:23:33.234059+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:26,QsJs,4d2d,7c6dKc,2s,2h,400000,openclaw,fold,
01KRH2D6TF3YSH770HSVRXP8MT,01KRH1Z1C1WG2QAPJ3Q1G85W38,27,2026-05-13T16:23:36.015244+00:00,2026-05-13T16:24:10.194832+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:27,As9c,3h6d,KhJd6c,3s,,200000,openclaw,fold,
01KRH2EB498CRCAJ7ZVE11TS2Q,01KRH1Z1C1WG2QAPJ3Q1G85W38,28,2026-05-13T16:24:13.193646+00:00,2026-05-13T16:24:17.467184+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:28,Qd4c,Td8d,,,,100000,openclaw,fold,
01KRH2EHY6GPZJHZPCBQ1RJE3E,01KRH1Z1C1WG2QAPJ3Q1G85W38,29,2026-05-13T16:24:20.166108+00:00,2026-05-13T16:24:26.015372+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:29,9h6d,Ac7d,,,,200000,openclaw,fold,
01KRH2ETAAKR0EAAQPSPV9TWKJ,01KRH1Z1C1WG2QAPJ3Q1G85W38,30,2026-05-13T16:24:28.746092+00:00,2026-05-13T16:24:32.978209+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:30,8h5c,Th3d,,,,100000,openclaw,fold,
01KRH2F145GZR65SZZS24QXNN4,01KRH1Z1C1WG2QAPJ3Q1G85W38,31,2026-05-13T16:24:35.717595+00:00,2026-05-13T16:24:49.130022+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:31,Qc7d,AcKd,,,,200000,openclaw,fold,
01KRH2FGX9CSECETRJEX9892T6,01KRH1Z1C1WG2QAPJ3Q1G85W38,32,2026-05-13T16:24:51.881591+00:00,2026-05-13T16:24:55.978131+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:32,3sKc,2hQc,,,,100000,openclaw,fold,
01KRH2FQMWEVJYDMJT3H628SWA,01KRH1Z1C1WG2QAPJ3Q1G85W38,33,2026-05-13T16:24:58.780931+00:00,2026-05-13T16:25:01.297319+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:33,3h9d,7c2s,,,,100000,hermes,fold,
01KRH2FX27X0Q88FV3M6A2NDWX,01KRH1Z1C1WG2QAPJ3Q1G85W38,34,2026-05-13T16:25:04.327659+00:00,2026-05-13T16:25:28.360468+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:34,3dAc,7h2h,9s7dAs,Ad,,400000,hermes,fold,
01KRH2GQ6YDZ63Y315Y2SQ98F8,01KRH1Z1C1WG2QAPJ3Q1G85W38,35,2026-05-13T16:25:31.102741+00:00,2026-05-13T16:26:11.455102+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:35,Kh9h,Jd8s,7d3h9s,9c,2s,1600000,hermes,fold,
01KRH2J17CMHVG2K8WJ91J924H,01KRH1Z1C1WG2QAPJ3Q1G85W38,36,2026-05-13T16:26:14.124104+00:00,2026-05-13T16:26:17.944314+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:36,Qs4c,9cAd,,,,100000,openclaw,fold,
01KRH2J7HH9QWQ3RSBBC6SBCHQ,01KRH1Z1C1WG2QAPJ3Q1G85W38,37,2026-05-13T16:26:20.593664+00:00,2026-05-13T16:26:24.185009+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:37,Qh5d,8s5h,,,,100000,hermes,fold,
01KRH2JDMS7WAV6B37XZYY4WEH,01KRH1Z1C1WG2QAPJ3Q1G85W38,38,2026-05-13T16:26:26.841915+00:00,2026-05-13T16:26:31.481531+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:38,2c3c,JcAs,,,,100000,openclaw,fold,
01KRH2JMTCHAJD0G06BWGCT8NB,01KRH1Z1C1WG2QAPJ3Q1G85W38,39,2026-05-13T16:26:34.188817+00:00,2026-05-13T16:26:36.568647+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:39,Jc9h,2c5d,,,,100000,hermes,fold,
01KRH2JSTXK3333XRJW47K4SR9,01KRH1Z1C1WG2QAPJ3Q1G85W38,40,2026-05-13T16:26:39.325891+00:00,2026-05-13T16:26:47.946034+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:40,5s6d,Th4d,,,,100000,openclaw,fold,
01KRH2K4TVYS39YYJJ1YY7Q7V1,01KRH1Z1C1WG2QAPJ3Q1G85W38,41,2026-05-13T16:26:50.587884+00:00,2026-05-13T16:27:10.646749+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:41,9s9c,TsJs,8sTdAs,,,1200000,openclaw,fold,
01KRH2KV8WT4M5KJXKGRZNA5TC,01KRH1Z1C1WG2QAPJ3Q1G85W38,42,2026-05-13T16:27:13.564776+00:00,2026-05-13T16:27:48.052087+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:42,5d5c,JdAs,7h3hKd,2c,9h,1400000,hermes,showdown,
01KRH2MZHQ24001NA3TAFHZ29V,01KRH1Z1C1WG2QAPJ3Q1G85W38,43,2026-05-13T16:27:50.711293+00:00,2026-05-13T16:28:29.913265+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:43,4dJd,Ks4h,Ah3s6h,3c,Qc,200000,openclaw,showdown,
01KRH2P8J0TEK10DMM23KSVQKB,01KRH1Z1C1WG2QAPJ3Q1G85W38,44,2026-05-13T16:28:32.704658+00:00,2026-05-13T16:28:37.131262+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:44,2sJh,Kd9s,,,,100000,openclaw,fold,
01KRH2PGAMGNV34DJ449E66M5B,01KRH1Z1C1WG2QAPJ3Q1G85W38,45,2026-05-13T16:28:40.660169+00:00,2026-05-13T16:28:46.418035+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:45,AdQd,Jd2s,,,,100000,hermes,fold,
01KRH2PT7S9M6H9K3YDDJMHNDY,01KRH1Z1C1WG2QAPJ3Q1G85W38,46,2026-05-13T16:28:50.809959+00:00,2026-05-13T16:29:10.635260+00:00,hermes,01KRH1Z1C1WG2QAPJ3Q1G85W38:46,9h4s,4hJh,,,,100000,openclaw,fold,
01KRH2QGBN8KFFK66HZQP378S3,01KRH1Z1C1WG2QAPJ3Q1G85W38,47,2026-05-13T16:29:13.461954+00:00,2026-05-13T16:29:16.135576+00:00,openclaw,01KRH1Z1C1WG2QAPJ3Q1G85W38:47,Kd5c,2h4s,,,,100000,hermes,fold,
