hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRC3CPA5CBRZ80BV6P70GSJS,01KRC390KG1QTZ1RR9M7Q6M81E,11,2026-05-11T18:04:35.525550+00:00,2026-05-11T18:04:37.273575+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:11,AdQd,3hQc,,,,100000,hermes,fold,
01KRC3CTQN1ZWDAQ3XDJSFE7YP,01KRC390KG1QTZ1RR9M7Q6M81E,12,2026-05-11T18:04:40.053415+00:00,2026-05-11T18:04:56.475685+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:12,KdQd,Kc4c,8d9sJh,Jd,Ad,1200000,hermes,showdown,
01KRC3DDM0YWV19AYM3V5KFX24,01KRC390KG1QTZ1RR9M7Q6M81E,13,2026-05-11T18:04:59.392279+00:00,2026-05-11T18:05:06.079501+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:13,9d3s,TdKs,,,,200000,openclaw,fold,
01KRC3DPVSPCVPKYPBYV3KKEZD,01KRC390KG1QTZ1RR9M7Q6M81E,14,2026-05-11T18:05:08.858018+00:00,2026-05-11T18:05:15.445328+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:14,7s9d,9hKs,,,,200000,openclaw,fold,
01KRC3DZZ69HH9NY403T9R1VT5,01KRC390KG1QTZ1RR9M7Q6M81E,15,2026-05-11T18:05:18.182188+00:00,2026-05-11T18:05:19.569764+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:15,4c7h,Qh2s,,,,100000,hermes,fold,
01KRC3E409N4RPR7CHQ2WNHTTG,01KRC390KG1QTZ1RR9M7Q6M81E,16,2026-05-11T18:05:22.313480+00:00,2026-05-11T18:05:34.532533+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:16,5h5s,8s3c,9c8h9d,Tc,Qs,200000,openclaw,showdown,
01KRC3EJJJT7GVYK1S20GTHW7K,01KRC390KG1QTZ1RR9M7Q6M81E,17,2026-05-11T18:05:37.234087+00:00,2026-05-11T18:05:38.412798+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:17,7h3c,Kh5c,,,,100000,hermes,fold,
01KRC3EPAXSAKA267AJZ5G9NWH,01KRC390KG1QTZ1RR9M7Q6M81E,18,2026-05-11T18:05:41.085859+00:00,2026-05-11T18:05:42.854210+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:18,2dTc,Ac9h,,,,100000,openclaw,fold,
01KRC3ETP5VTH7EX30Y0NT8BX0,01KRC390KG1QTZ1RR9M7Q6M81E,19,2026-05-11T18:05:45.541347+00:00,2026-05-11T18:06:00.527132+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:19,8c6d,2dAd,5h4d3h,Jc,2h,900000,hermes,showdown,
01KRC3FC0XFJEKAARET1Y35TEC,01KRC390KG1QTZ1RR9M7Q6M81E,20,2026-05-11T18:06:03.293676+00:00,2026-05-11T18:06:18.257283+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:20,As4d,6sAc,2c3s5d,Qs,3d,2400000,hermes,showdown,
01KRC3FX8E8N2C8PP9VMPTRSZP,01KRC390KG1QTZ1RR9M7Q6M81E,21,2026-05-11T18:06:20.942351+00:00,2026-05-11T18:06:22.263947+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:21,3sTd,Th5s,,,,100000,hermes,fold,
01KRC3G14F7QNYATCTEC332B3P,01KRC390KG1QTZ1RR9M7Q6M81E,22,2026-05-11T18:06:24.911199+00:00,2026-05-11T18:06:26.583749+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:22,Ts6h,6c4h,,,,100000,openclaw,fold,
01KRC3G5BFVK1RP2VEG5RY2BA6,01KRC390KG1QTZ1RR9M7Q6M81E,23,2026-05-11T18:06:29.231761+00:00,2026-05-11T18:06:31.404291+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:23,KhKd,3c9h,,,,100000,hermes,fold,
01KRC3GA2AH0J13HAP2R8Y2K1B,01KRC390KG1QTZ1RR9M7Q6M81E,24,2026-05-11T18:06:34.058698+00:00,2026-05-11T18:06:53.027792+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:24,Ac4h,Qh9c,Jh5s6c,Ah,Ks,200000,hermes,showdown,
01KRC3GZ5EJV6C7SJWYY3HA7YD,01KRC390KG1QTZ1RR9M7Q6M81E,25,2026-05-11T18:06:55.662877+00:00,2026-05-11T18:06:57.032763+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:25,6d9d,4cQd,,,,100000,hermes,fold,
01KRC3H321DKRYP50S4Y51JDY3,01KRC390KG1QTZ1RR9M7Q6M81E,26,2026-05-11T18:06:59.649408+00:00,2026-05-11T18:07:01.665282+00:00,hermes,01KRC390KG1QTZ1RR9M7Q6M81E:26,Jd6s,2h5s,,,,100000,openclaw,fold,
01KRC3H7KD5E27K0HSP5HR5TZX,01KRC390KG1QTZ1RR9M7Q6M81E,27,2026-05-11T18:07:04.301692+00:00,2026-05-11T18:07:06.303097+00:00,openclaw,01KRC390KG1QTZ1RR9M7Q6M81E:27,7d5c,5dQh,,,,100000,hermes,fold,
