hand_id,match_id,hand_number,started_at,ended_at,button_agent,deck_seed,hole_cards_hermes,hole_cards_openclaw,flop,turn,river,pot_final_micros,winner,win_type,winning_hand_description
01KRBWGEQR8D5NB7EF7QHX5Z0J,01KRBW350SJSXD3WFP768NDXB3,33,2026-05-11T16:04:18.808959+00:00,2026-05-11T16:04:23.274166+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:33,Kh4s,Qc2c,,,,100000,hermes,fold,
01KRBWGNR62JEMFS2SAJNRR6S6,01KRBW350SJSXD3WFP768NDXB3,34,2026-05-11T16:04:25.990339+00:00,2026-05-11T16:04:40.764040+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:34,QhAd,2h8h,,,,200000,hermes,fold,
01KRBWH6TG57BGZ7CF9KPMQ67S,01KRBW350SJSXD3WFP768NDXB3,35,2026-05-11T16:04:43.472088+00:00,2026-05-11T16:04:47.731905+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:35,3cAh,7d4c,,,,100000,hermes,fold,
01KRBWHDNMAR1CQ3T1Q252BHMX,01KRBW350SJSXD3WFP768NDXB3,36,2026-05-11T16:04:50.484881+00:00,2026-05-11T16:04:56.415306+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:36,QdAc,8d3h,,,,200000,hermes,fold,
01KRBWHP75QH32GND9P5WKSSBC,01KRBW350SJSXD3WFP768NDXB3,37,2026-05-11T16:04:59.237484+00:00,2026-05-11T16:05:33.749294+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:37,4sJs,2dAh,9h4c5h,3s,Tc,400000,openclaw,showdown,
01KRBWJTKPC2CFHHX69XR7NAVV,01KRBW350SJSXD3WFP768NDXB3,38,2026-05-11T16:05:36.502999+00:00,2026-05-11T16:05:44.702886+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:38,JdTc,Jc2h,,,,200000,hermes,fold,
01KRBWK5B5M63K82HT57CNDMNR,01KRBW350SJSXD3WFP768NDXB3,39,2026-05-11T16:05:47.493945+00:00,2026-05-11T16:05:51.930776+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:39,4s4h,Js8c,,,,100000,hermes,fold,
01KRBWKCS37N7R8G0T8HQQDC0B,01KRBW350SJSXD3WFP768NDXB3,40,2026-05-11T16:05:55.107175+00:00,2026-05-11T16:06:01.197748+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:40,5s6s,2c3s,,,,200000,hermes,fold,
01KRBWKNHCXPK9KM20SF2TQG68,01KRBW350SJSXD3WFP768NDXB3,41,2026-05-11T16:06:04.076177+00:00,2026-05-11T16:06:10.792434+00:00,openclaw,01KRBW350SJSXD3WFP768NDXB3:41,5c7d,4dTs,,,,100000,hermes,fold,
01KRBWKYWJZBAKQ2R79G9DAWP3,01KRBW350SJSXD3WFP768NDXB3,42,2026-05-11T16:06:13.650657+00:00,2026-05-11T16:06:15.491202+00:00,hermes,01KRBW350SJSXD3WFP768NDXB3:42,4c5d,5c2s,,,,100000,openclaw,fold,
