snapshot_id,match_id,hand_id,agent_name,snapshot_type,limit_micros,usage_micros,limit_remaining_micros,timestamp,hand_number
01KRBRKX8VSNNDQDT2B4D91QD9,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRJMHZR8XY23PZQ1N55EZ9,openclaw,hand_end,4100000,53260,4046740,2026-05-11T14:56:17.691307+00:00,10
01KRBRKYMFD4PZBQVZ44BJGNKF,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRKYMAM2FWKD5983H85V9J,hermes,hand_start,5900000,12034,5887966,2026-05-11T14:56:19.087178+00:00,11
01KRBRKYMG9Q3G4HN18NM16YQ7,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRKYMAM2FWKD5983H85V9J,openclaw,hand_start,4100000,53260,4046740,2026-05-11T14:56:19.088212+00:00,11
01KRBRN448T3K86SYMYDBVQCD0,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRKYMAM2FWKD5983H85V9J,hermes,hand_end,5425000,14546,5410454,2026-05-11T14:56:57.480991+00:00,11
01KRBRN44CMPAVRJ6WMRG9TG85,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRKYMAM2FWKD5983H85V9J,openclaw,hand_end,4575000,63385,4511615,2026-05-11T14:56:57.484616+00:00,11
01KRBRN5G7KF0KS5XRQGFTGXJ6,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRN5G3QQXA3AFR183HPSEA,hermes,hand_start,5425000,14546,5410454,2026-05-11T14:56:58.887478+00:00,12
01KRBRN5G8JNCNMG06EGKKEPZT,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRN5G3QQXA3AFR183HPSEA,openclaw,hand_start,4575000,63385,4511615,2026-05-11T14:56:58.888085+00:00,12
01KRBRPKC6E2EXD973E5XE927W,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRN5G3QQXA3AFR183HPSEA,hermes,hand_end,5525000,16597,5508403,2026-05-11T14:57:45.862090+00:00,12
01KRBRPKCA9W4250WZ3Z9NA456,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRN5G3QQXA3AFR183HPSEA,openclaw,hand_end,4475000,70970,4404030,2026-05-11T14:57:45.866105+00:00,12
01KRBRPMRFTE8MZJ511EGM8BN9,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRPMRC4PABVG9R2HATV8Q5,hermes,hand_start,5525000,16597,5508403,2026-05-11T14:57:47.279740+00:00,13
01KRBRPMRGFBJTBX5ZCCM41JHR,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRPMRC4PABVG9R2HATV8Q5,openclaw,hand_start,4475000,70970,4404030,2026-05-11T14:57:47.280695+00:00,13
01KRBRR3N9DRCE7HX7STECD5SB,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRPMRC4PABVG9R2HATV8Q5,hermes,hand_end,6525000,19649,6505351,2026-05-11T14:58:35.305389+00:00,13
01KRBRR3ND0SRW47X6FVVQBZ2N,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRPMRC4PABVG9R2HATV8Q5,openclaw,hand_end,3475000,83655,3391345,2026-05-11T14:58:35.309636+00:00,13
01KRBRR51MK8YMEWX0JPKYD0R0,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRR51HKP40ZSWD6J3WM09H,hermes,hand_start,6525000,20192,6504808,2026-05-11T14:58:36.724331+00:00,14
01KRBRR51NB032Y0KFAWAYQADM,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRR51HKP40ZSWD6J3WM09H,openclaw,hand_start,3475000,83655,3391345,2026-05-11T14:58:36.725385+00:00,14
01KRBRR9Q93Z4HXDVPBGBW5TKJ,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRR51HKP40ZSWD6J3WM09H,hermes,hand_end,6475000,20192,6454808,2026-05-11T14:58:41.513054+00:00,14
01KRBRR9R7WSB3AAGJ7WK7S3FE,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRR51HKP40ZSWD6J3WM09H,openclaw,hand_end,3525000,86195,3438805,2026-05-11T14:58:41.544008+00:00,14
01KRBRRB47FY8CH12KKFFXX3V1,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRRB45XZPTF2CYP9XYWWXV,hermes,hand_start,6475000,20192,6454808,2026-05-11T14:58:42.951660+00:00,15
01KRBRRB4835H0MGJWZ5KYTY9Y,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRRB45XZPTF2CYP9XYWWXV,openclaw,hand_start,3525000,86195,3438805,2026-05-11T14:58:42.952225+00:00,15
01KRBRRVZWJ4NHZDFC8N1QZP6G,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRRB45XZPTF2CYP9XYWWXV,hermes,hand_end,6375000,20687,6354313,2026-05-11T14:59:00.220988+00:00,15
01KRBRRW01ESR6YT7RWRXNHQDF,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRRB45XZPTF2CYP9XYWWXV,openclaw,hand_end,3625000,86195,3538805,2026-05-11T14:59:00.225202+00:00,15
01KRBRRXD1WP8WAN3N9XBEY72M,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRRXCY3XMWKKJP5V8P9JNJ,hermes,hand_start,6375000,20687,6354313,2026-05-11T14:59:01.666024+00:00,16
01KRBRRXD276646R7DFCG0G20Z,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRRXCY3XMWKKJP5V8P9JNJ,openclaw,hand_start,3625000,86195,3538805,2026-05-11T14:59:01.666602+00:00,16
01KRBRT81ETQDX7DKQ75SYGEDP,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRRXCY3XMWKKJP5V8P9JNJ,hermes,hand_end,6375000,22688,6352312,2026-05-11T14:59:45.326592+00:00,16
01KRBRT81J9XSDDQWABC152JRK,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRRXCY3XMWKKJP5V8P9JNJ,openclaw,hand_end,3625000,96240,3528760,2026-05-11T14:59:45.330648+00:00,16
01KRBRT9DC1CM7J1K4ZP76V7BM,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRT9D8RPXH21JFA5HY1HV3,hermes,hand_start,6375000,22688,6352312,2026-05-11T14:59:46.732676+00:00,17
01KRBRT9DD46V70CC5M48SQ1KA,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRT9D8RPXH21JFA5HY1HV3,openclaw,hand_start,3625000,96240,3528760,2026-05-11T14:59:46.733895+00:00,17
01KRBRTPVPYG9NJZGSXR00PY9X,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRT9D8RPXH21JFA5HY1HV3,hermes,hand_end,6275000,23184,6251816,2026-05-11T15:00:00.502446+00:00,17
01KRBRTPVTBG8SV3XQRA3YYVF3,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRT9D8RPXH21JFA5HY1HV3,openclaw,hand_end,3725000,98780,3626220,2026-05-11T15:00:00.506641+00:00,17
01KRBRTR7PFD47EVNBBRKRN9ZE,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRTR7J51BJGBTQ41R1CA60,hermes,hand_start,6275000,23184,6251816,2026-05-11T15:00:01.911028+00:00,18
01KRBRTR7R910SKC1KXSK5S6XH,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRTR7J51BJGBTQ41R1CA60,openclaw,hand_start,3725000,101320,3623680,2026-05-11T15:00:01.912327+00:00,18
01KRBRTX07MX5X8RSPC0VZF138,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRTR7J51BJGBTQ41R1CA60,hermes,hand_end,6225000,23184,6201816,2026-05-11T15:00:06.791446+00:00,18
01KRBRTX0BE5JSQXDRG9B9G4G3,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRTR7J51BJGBTQ41R1CA60,openclaw,hand_end,3775000,101320,3673680,2026-05-11T15:00:06.795047+00:00,18
01KRBRTYCA8XHA275G8JBWM0N8,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRTYC7NP487YKQ8CW0RN0P,hermes,hand_start,6225000,23184,6201816,2026-05-11T15:00:08.202300+00:00,19
01KRBRTYCBS4VW8F87JH10ZJX0,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRTYC7NP487YKQ8CW0RN0P,openclaw,hand_start,3775000,101320,3673680,2026-05-11T15:00:08.203393+00:00,19
01KRBRVAG5F7CBVKMZXBT3GAAN,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRTYC7NP487YKQ8CW0RN0P,hermes,hand_end,6125000,24179,6100821,2026-05-11T15:00:20.613777+00:00,19
01KRBRVAG9SSVW5XFWM5XX78PN,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRTYC7NP487YKQ8CW0RN0P,openclaw,hand_end,3875000,101320,3773680,2026-05-11T15:00:20.617446+00:00,19
01KRBRVBW6VTXYCJ3ZKMAPARKX,01KRBRC2TPAXX3XQN72J3W8W8D,01KRBRVBW3CSSD2YRMFCGZ4Q78,hermes,hand_start,6125000,24179,6100821,2026-05-11T15:00:22.022816+00:00,20
